"url","title","h1","body_first_300_chars"
"/do-you-have-any-laundry-facilities-we-can-use","Do you have any laundry facilities we can use? | Blaco Hill","Do you have any laundry facilities we can use?","FAQ Sep 4, 2020 There is a communal laundry room which guests are welcome to use. It includes 2 washing machines, a tumble dryer and ironing equipment."
"/do-you-have-wifi","Do you have wifi? | Blaco Hill","Do you have wifi?","FAQ Sep 21, 2020 Yes! We have wifi in all properties and in our Games Room. And signal is also good when outside."
"/excellent-and-great-location","Excellent and great location – Mrs G Dundee | Blaco Hill","Excellent and great location – Mrs G Dundee","Testimonials May 16, 2016 Stayed here for 2 nights as husband had a course nearby and we chose this for convenience. The property is dog friendly and lots of grounds to explore. Cottage is perfect for needs, basic but more than ample… Also very reasonable price. Great location for nearby towns and l"
"/family-weekend-away","Family weekend away – Deborah W | Blaco Hill","Family weekend away – Deborah W","Testimonials May 16, 2018 Just got back from a gorgeous weekend a blacohill farm. We had 7 cottages between 24 of us and couldn’t of asked for anything better. All the cottages were clean and very well equipped with everything you could think of in the kitchens. The games room was just perfect for u"
"/fantastic-girls-weekend","Fantastic girls weekend – Pho3nix1705 | Blaco Hill","Fantastic girls weekend – Pho3nix1705","Testimonials Apr 16, 2019 We spent a lovely weekend in Swallow cottage. Just perfect for a group of friends looking for some time in the country to relax and catch up. We arrived to a very warm welcome from Liz and were shown to our cottage which was comfy, clean and tidy. Cottages are located on a "
"/for-four-people","For four people | Blaco Hill","For four people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Accessed up stairs this single level cottage offers open plan living with high beamed ceilings and great views across the farm. Both the master and twin are spacious rooms with ensuite bath and sho"
"/for-six-people","For six people | Blaco Hill","For six people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Swift offers colourful open plan living with a fully equipped kitchen and large dining table. The spacious master bedroom with ensuite one end and the twin rooms and family bathroom the other flank"
"/for-two-people","For two people | Blaco Hill","For two people","Our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six With a large glass window frontage this cottage offers bright open plan living downstairs with a master ensuite upstairs on a mezzanine floor. With a large glass window frontage this cottage offers"
"/highly-recommended","Highly recommended! – Burl Brown | Blaco Hill","Highly recommended! – Burl Brown","Testimonials Jul 29, 2013 We stayed here whilst visiting family in the area and couldn’t have asked for more. They are beautifully converted cottages, with everything you could need amongst stunning countryside. Great routes for walks or runs in the countryside, perfect for building up an appetite. "
"/how-do-i-pay","How do I pay? | Blaco Hill","How do I pay?","FAQ Sep 21, 2020 Our preferred method of payment is by bank transfer but we can also take payment by cheques or PayPal. All details will be given in your correspondence with us."
"/i-am-disabled-are-your-properties-suitable-for-me","I am disabled. Are your properties suitable for me? | Blaco Hill","I am disabled. Are your properties suitable for me?","FAQ Sep 4, 2020 We do everything we can to accommodate everyone. Please read our access statement for further details."
"/modern-slavery","Modern Slavery Statement | Blaco Hill","Modern Slavery Statement","[MODERN_SLAVERY_TEXT]"
"/our-cottages","Our Cottages | Blaco Hill","Our Eleven Cottages","our cottages Nottinghamshire & Yorkshire border Eleven Unique Cottages Accommodating between two - six Here at Blaco Hill Cottages we aim to provide a relaxing and care-free environment that offers cosy cottages sympathetically restored with everything you need for a stay away from home. We welcome "
"/our-cottages/chaffinch-2","Chaffinch | Blaco Hill","Chaffinch","Our Cottages Kitchen, Dining Room & Large Sitting Room Master & twin bedroom Sleeps four people Kitchen dining room Large sitting room Master Bedroom kingsize bed, with en-suite shower over bath Bedroom 2 – twin beds, with en-suite shower Pets accepted Set over two floors Chaffinch is well equipped "
"/our-cottages/cuckoo","Cuckoo | Blaco Hill","Cuckoo","Our Cottages Kitchen Dining Area & Large Sitting Room Master & twin bedroom Sleeps four people Kitchen dining area Large sitting area Master Bedroom super king bed, with en-suite shower over bath Bed 2 – twin beds Patio area No pets We are open year round We do hope you find Blaco Hill Farm Cottages"
"/our-cottages/grey-goose","Greygoose | Blaco Hill","Old Cart Shed D","Our Cottages Kitchen Dining Area & Large Sitting Room Superking or Twin Sleeps two people Kitchen dining area Large sitting area Master Bedroom with Superking or Twin with en-suite shower over bath Patio area Pets accepted It’s all about flexibility and comfort in these cottages with zip lock beds i"
"/our-cottages/mallard","Mallard | Blaco Hill","Old Cart Shed C","Our Cottages Kitchen Dining Area & Large Sitting Room Superking or Twin Sleeps two people Kitchen dining area Large sitting area Master Bedroom with Superking or Twin with en-suite shower over bath Patio area No pets It’s all about flexibility and comfort in these cottages with zip lock beds in the "
"/our-cottages/nightingale","Nightingale | Blaco Hill","Nightingale","Our Cottages Kitchen Dining Area & Sitting Room Master bedroom Sleeps two people Kitchen dining area Sitting room Master Bedroom kingsize bed, with en-suite shower Patio area Pets accepted We are open year round We do hope you find Blaco Hill Farm Cottages a relaxing, care-free environment and hopef"
"/our-cottages/partridge","Partridge | Blaco Hill","Partridge","Our Cottages Kitchen Dining Area & Large Sitting Room Bed 2 King & Bed 3 Twin Sleeps six people Kitchen Dining Living Area Super king master with en-suite shower over bath Bed 2 King Bed 3 Twin Family shower room Large enclosed patio Pets accepted The perfect place for a family looking for a quiet r"
"/our-cottages/skylark","Skylark | Blaco Hill","Skylark","Our Cottages Kitchen Dining Area & Sitting Room Master bedroom Sleeps two people Kitchen dining area Sitting area Master Bedroom kingsize bed, with en-suite shower Patio area Pets accepted Set in the corner of our pretty courtyard, Skylarkoffers spacious modern living. With a mezzanine bedroom ensui"
"/our-cottages/swallow","Swallow | Blaco Hill","Swallow","Our Cottages Kitchen Diner & Large Sitting Room Master & twin bedroom Sleeps five people Kitchen dining area Large sitting area Master Bedroom kingsize bed, with en-suite shower over bath Bedroom 2 – twin beds, with en-suite shower Patio area Pets accepted Quiet and peaceful, Cottage 3 offers charmi"
"/our-cottages/swift","Swift | Blaco Hill","Swift","Our Cottages Kitchen Dining Area & Large Sitting Room Master and 2 twins Sleeps six people Kitchen dining room Large sitting room Master Bedroom kingsize bed, with en-suite shower over bath Bed 2 – twin beds Bed 3 – twin beds, with full size pull out single bed Family bathroom with corner bath & sho"
"/our-cottages/woodcock","Woodcock | Blaco Hill","Old Cart Shed E","Our Cottages Kitchen Dining Area & Large Sitting Room Superking or Twin Sleeps two people Kitchen dining area Large sitting area Master Bedroom with Superking or Twin with en-suite shower over bath Patio area Pets accepted Occupying the end position of this run of cottages Old Cart Shed E has the ru"
"/our-cottages/wren","Wren | Blaco Hill","Wren","Our Cottages Kitchen Dining Area & Sitting Room Master bedroom Sleeps two people Kitchen dining area Sitting room Master Bedroom kingsize bed, TV with en-suite shower Patio area Pets accepted Wren has fantastic high ceilings and a spacious living area. With a SW facing patio enjoy the evening sun in"
"/perfect-countryside-retreat","Perfect countryside retreat – Alex Smith | Blaco Hill","Perfect countryside retreat – Alex Smith","Testimonials Sep 16, 2012 We stayed here after getting married at the secret garden in gringley. It was so tranquil and peaceful. Really beautiful surroundings just wish we had spent more time at the cottage. Can’t fault the cottage as modern, clean and has everything you need. Did struggle to find "
"/perfect-highly-recommended","Perfect-highly recommended! – dollyface99 | Blaco Hill","Perfect-highly recommended! – dollyface99","Testimonials Dec 16, 2013 I have never written a review before but felt the need to this time. We have been staying here while visiting family (under sad circumstances unfortunately) and we couldnt have chosen a better place. Its gorgeous- the photos dont do it justice! We stayed in Skylark and it w"
"/privacy-policy-2","Privacy Policy | Blaco Hill","Privacy Policy","Our website address is: http://www.blacohillcottages.co.uk. Comments When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor’s IP address and browser user agent string to help spam detection. An anonymized string created from your email address ("
"/very-good-value-for-money","Very good value for money – Pip W | Blaco Hill","Very good value for money – Pip W","Testimonials Oct 16, 2016 Good place to get together with a group friends as lots of separate cottages. Great ensuite rooms with good showers. Nicely furnished but kitchen equipment needed sorting out a bit. One niggle was a very strong smell of moth balls or similar in one room which we could not t"
"/weekend-away-rebecca-p","Weekend away – Rebecca P | Blaco Hill","Weekend away – Rebecca P","Testimonials Jun 16, 2019 Fab little find. Lovely cottage with everything you need for a weekend get away. Games room an added bonus and cottage kitted out for all your needs. Clean with linen provided, plenty of room for 6 of us and didn’t feel cramped."
"/what-internet-speeds-can-i-expect","What internet speeds can I expect? | Blaco Hill","What internet speeds can I expect?","FAQ Sep 21, 2026 Our broadband provides download and upload speeds of around the national average. It will support streaming, video calls and working from home. Speeds may vary slightly depending on how many devices are connected at the time."
"/what-is-your-cancellation-policy","What is your cancellation policy? | Blaco Hill","What is your cancellation policy?","FAQ Sep 21, 2026 If you need to cancel your booking, please let us know as soon as possible by emailing victoria@blacohillcottages.co.uk. Depending on how close to your arrival date you cancel, you may lose your deposit. Make sure you let us know with plenty of time."
"/what-length-of-stays-do-you-offer","What length of stays do you offer? | Blaco Hill","What length of stays do you offer?","FAQ Sep 21, 2020 We are completely flexible with length of stays, from one night to long term lets we can offer accommodation to meet your needs."
"/what-time-can-i-check-in-on-arrival-and-what-time-do-i-have-to-vacate-the-property-by-on-my-departure","Check-in and checkout times | Blaco Hill","What time can I check in on arrival and what time do I have to vacate the property by on my departure?","FAQ Sep 4, 2020 Cottages are available from 3pm on the day of arrival and we ask that guests vacate by 10am on the day of departure. We can be flexible so please let us know if you have different requirements."
"/where-should-i-park","Where should I park? | Blaco Hill","Where should I park?","FAQ Sep 21, 2020 We have a designated carpark for the cottages with some under cover parking close to all the cottages."
"/will-i-receive-a-refund-if-i-cancel","Will I receive a refund if I cancel? | Blaco Hill","Will I receive a refund if I cancel?","FAQ Sep 21, 2026 Refunds are made at our discretion and each case is considered individually. We always aim to be fair, so please get in touch and talk to us about your circumstances."
"/wonderful","Wonderful – Lorraine D | Blaco Hill","Wonderful – Lorraine D","Testimonials Oct 16, 2013 We stayed here whilst trading at Osberton Horse trials. It was so lovely to come back to each evening. Very comfortable and cosy. The underfloor heating was great. I forgot my books which was for me a disaster but a quick trip to the games room provided me with enough to ke"
"/wonderful-country-views-in-cosy-newly-converted-barns","Wonderful country views in cosy newly converted barns – Sue and John | Blaco Hill","Wonderful country views in cosy newly converted barns – Sue and John","Testimonials Jan 10, 2010 We stayed here while visiting friends and what an absolute gem! On arriving quite late we received a warm welcome from Liz and were delighted with our cottage. Our room had a mezzanine floor for the bedroom with very comfy bed and ensuite with decent shower. These are newly"
